"Temperature","Light_Intensity","Species","Division"
25,2500,"Nannochlorois_oculata",0.92
30,5000,"Nannochlorois_oculata",1.09
30,2500,"Nannochlorois_oculata",1.14
5,5000,"Nannochloris_salina",0.06
5,2500,"Nannochloris_salina",0.07
10,5000,"Nannochloris_salina",0.04
10,2500,"Nannochloris_salina",0.54
25,5000,"Nannochloris_salina",-0.32
25,2500,"Nannochloris_salina",-0.34
30,5000,"Nannochloris_salina",0.46
30,2500,"Nannochloris_salina",0.06
5,5000,"Navicula_incerta",0.16
5,2500,"Navicula_incerta",0.2
10,5000,"Navicula_incerta",0.37
10,2500,"Navicula_incerta",0.22
25,5000,"Navicula_incerta",0.39
25,2500,"Navicula_incerta",0.37
30,5000,"Navicula_incerta",0.48
30,2500,"Navicula_incerta",0.35
5,5000,"Nitzscia_sp.",-0.1
5,2500,"Nitzscia_sp.",0.12
10,5000,"Nitzscia_sp.",0.2
10,2500,"Nitzscia_sp.",0.23
25,5000,"Nitzscia_sp.",0.23
25,2500,"Nitzscia_sp.",0.29
30,5000,"Nitzscia_sp.",0.46
30,2500,"Nitzscia_sp.",0.4
5,5000,"Skeletonema_costatum",0.29
5,2500,"Skeletonema_costatum",0.34
10,5000,"Skeletonema_costatum",0.66
10,2500,"Skeletonema_costatum",0.61
25,5000,"Skeletonema_costatum",0.6
25,2500,"Skeletonema_costatum",0.67
30,5000,"Skeletonema_costatum",0.48
30,2500,"Skeletonema_costatum",0.43
5,5000,"Tetraselmus_suecica",0.04
5,2500,"Tetraselmus_suecica",-0.02
10,5000,"Tetraselmus_suecica",0.42
10,2500,"Tetraselmus_suecica",0.28
25,5000,"Tetraselmus_suecica",0.46
25,2500,"Tetraselmus_suecica",0.44
30,5000,"Tetraselmus_suecica",0.55
30,2500,"Tetraselmus_suecica",0.51
5,5000,"Thalassiosira_fluviatilis",0.03
5,2500,"Thalassiosira_fluviatilis",0.06
10,5000,"Thalassiosira_fluviatilis",0.1
10,2500,"Thalassiosira_fluviatilis",0.11
25,5000,"Thalassiosira_fluviatilis",-0.03
25,2500,"Thalassiosira_fluviatilis",0.1
30,5000,"Thalassiosira_fluviatilis",0.28
30,2500,"Thalassiosira_fluviatilis",0.23
5,5000,"Thalassiosira_sp.",-0.29
5,2500,"Thalassiosira_sp.",-0.17
10,5000,"Thalassiosira_sp.",-0.04
10,2500,"Thalassiosira_sp.",-0.12
25,5000,"Thalassiosira_sp.",0.13
25,2500,"Thalassiosira_sp.",0.15
30,5000,"Thalassiosira_sp.",0.4
30,2500,"Thalassiosira_sp.",0.41
